asset_id,timestamp,burr_microns,humidity_rh,winding_tension_n,vpd_moisture_rate,tank_bolt_torque_nm,oil_fill_rate_lpm,hydrogen_ppm,acetylene_ppm,ethylene_ppm,transit_impact_g,signature,actual_label
TR-2026-0069,2026-01-02T01:00:00,14.22,50.095,531.928,0.272,186.003,80.55,4.16,1.473,6.593,1.676,9e3022acf2696eeb2a1c771326ff8ae3e9922968c09a7a95d0fc82bc41b66199,1
TR-2026-0070,2026-01-02T01:15:00,16.052,45.096,527.098,0.341,189.764,85.483,4.092,0.78,3.88,1.829,2a09255422e162957e0125d901b057b873ef24f7844db1808597943c3a55e6b6,1
TR-2026-0071,2026-01-02T01:30:00,12.034,46.99,521.547,0.43,172.011,83.792,5.762,0.3,4.767,1.337,446acf27b8dab1d232903b36a9ac3889f32c2722ad650b4d17fa49cacfa928e0,1
TR-2026-0072,2026-01-02T01:45:00,11.632,52.966,557.073,0.553,185.467,78.24,4.749,0.938,4.569,1.651,ef1de25d11153e2dc6c95bb4edf60294b9f95cf5c137882404d0722af60db5e8,1
TR-2026-0073,2026-01-02T02:00:00,11.603,35.046,508.831,0.472,182.575,80.377,8.759,0.598,3.058,1.309,7e04ad6fef74dae48efdbaf08ac72dba12b132b72a88f048d24cf929afa7a2c8,1
TR-2026-0074,2026-01-02T02:15:00,12.732,47.186,480.12,0.402,202.253,75.703,1.65,0.055,4.044,1.211,828861fcfef2e8ea12ae740b28f38883938b62f8c2939ce4526303dec55d58e6,1
TR-2026-0075,2026-01-02T02:30:00,15.643,23.617,533.858,0.606,171.467,81.962,5.741,0.442,3.511,1.7,edb98bf011ad25bea1a7b219a93711aa9fb4a9dfab2bf252cb04cc541cb200b1,1
TR-2026-0076,2026-01-02T02:45:00,10.992,60.24,521.245,0.625,183.88,86.048,9.096,2.072,5.277,0.952,5dfcf55ac3af79669536fac6a02b80ac5458488b270b02ee6de46c087e4f1dfa,1
TR-2026-0077,2026-01-02T03:00:00,10.915,41.082,551.801,0.453,188.343,85.112,9.01,0.97,1.095,1.433,a953adb929897edd4f579fbc94691a70edc5c068216dd20510cf17628ef52995,1
TR-2026-0078,2026-01-02T03:15:00,7.673,44.533,522.939,0.381,194.972,74.263,6.779,0.566,3.93,1.298,8d7407999fa48b9d967083c257102304ff8d122ebe0f2fbadf64e7583eedff00,1
TR-2026-0079,2026-01-02T03:30:00,14.173,45.504,453.782,0.254,184.852,83.232,7.69,0.789,4.338,1.532,51bbb6775a5f148b88df5f264c05eae76f6c35dac80c3157fa3e902b24018426,1
TR-2026-0080,2026-01-02T03:45:00,8.484,36.253,530.112,0.574,179.824,64.986,2.888,0.467,3.163,1.057,bbbbc8e4043c4fcb6feb1b34eec74ff5741e57130c6cf69efab4429df035cba7,1
TR-2026-0081,2026-01-02T04:00:00,11.065,53.395,496.339,0.364,190.747,72.715,9.169,0.841,3.779,1.756,6207bf416b9fd8f9b9cdd3600a22d072ff463226c1c3fbc70fea8297e69197e5,1
TR-2026-0082,2026-01-02T04:15:00,18.181,43.197,475.304,0.457,172.085,78.986,9.191,1.022,3.067,1.546,1e58db6253ddaf213ca36b3c23c9f0b09186b6c6e862c532e03f7fa15e6cdece,1
TR-2026-0083,2026-01-02T04:30:00,16.309,49.235,567.72,0.262,181.185,78.064,8.358,0.571,3.751,1.859,5826fd748f21cb871f1c6e47e144ba050ab5505adc8c348b8cdac1c7ddd5b1f1,1
TR-2026-0084,2026-01-02T04:45:00,13.241,43.142,522.65,0.451,190.38,94.322,12.942,0.924,4.884,0.797,c89608a772f0f689ee580ef65efcf9ff4ab1c3af1a214dad6e2952c12e18c85f,1
TR-2026-0085,2026-01-02T05:00:00,14.821,51.928,527.406,0.539,190.889,94.602,8.868,0.658,4.504,0.174,9c293c0f73a097d59f0c4c378e284cf9f01d972be4a660e0f32b5af732df3af4,1
TR-2026-0086,2026-01-02T05:15:00,1.055,31.212,535.812,0.498,171.051,79.303,12.112,0.606,7.364,1.199,2dc8c0974545cfc454b574ed215eb66ddd2a12b227ba2f4752cba2f4093ff43a,1
TR-2026-0087,2026-01-02T05:30:00,16.851,46.048,484.918,0.439,184.573,74.082,7.233,0.503,5.387,1.212,dccb0f0695ef64d1d856edb444872728e4707daa43911b37bec2f215d656f41f,1
TR-2026-0088,2026-01-02T05:45:00,11.681,46.785,541.588,0.35,172.501,93.837,6.763,0.233,4.666,1.362,6c699c6b68bd5a4113cf558b7cc2119cb3c93b1d2be79c90b6546e9b41cfaf2b,1
TR-2026-0089,2026-01-02T06:00:00,12.688,50.885,533.104,0.513,168.149,87.648,7.092,0.607,5.306,1.718,03b9b881a9f42aa415d211bc34d42198174a0c829d4a4590ca7b83cfcd5f8a3d,1
TR-2026-0090,2026-01-02T06:15:00,15.944,44.122,532.345,0.527,186.454,86.046,10.471,0.776,2.906,1.055,8bfff80c4f7b05384f31d05a76cc51f50736c14cb728d5233777f3a8a592fa16,1
TR-2026-0091,2026-01-02T06:30:00,12.009,47.722,543.453,0.413,194.075,88.031,4.296,1.377,3.249,0.621,12e7bb9ea3e10e19877a7d3aaf55e0eba3f28fde8027aa970ed4a00390020fa7,1
TR-2026-0092,2026-01-02T06:45:00,8.937,45.417,510.415,0.416,192.436,87.719,8.948,0.964,4.924,0.462,4223938f8e52d9416c2a90ba699157c6b6c2696ee20ea184202535cc42bf1db8,1
TR-2026-0093,2026-01-02T07:00:00,5.459,45.288,519.838,0.555,199.252,86.622,6.499,0.994,3.208,1.2,5cedc3bc8c87b94efe6d7e3a410b0520c05c8426a2655a957f5bd8e2ae14d947,1
TR-2026-0094,2026-01-02T07:15:00,10.327,51.445,543.709,0.355,196.687,90.589,8.306,0.495,2.711,1.012,607093382fae640743ddd8dc43a756d8c962ab846090354c63b1c0341dc51050,1
TR-2026-0095,2026-01-02T07:30:00,9.133,48.5,476.539,0.43,186.316,104.561,3.868,1.389,4.225,1.344,66bc03a5d65fd1821ae1005763261cf145428c67d35c680dbfde2abbabc66754,1
TR-2026-0096,2026-01-02T07:45:00,13.334,43.771,570.892,0.404,198.587,79.845,7.819,0.371,4.683,1.706,b10627850281810e0ec054f58aa3ffb127f7e61ca6c34e4cbf47c99204cc8081,1
TR-2026-0097,2026-01-02T08:00:00,11.409,36.083,511.975,0.291,174.045,86.814,11.957,1.924,3.12,1.702,3d149f66c591731c3712b703529d3950eae4cd78091fecc82d8be5675db6db3a,1
TR-2026-0098,2026-01-02T08:15:00,11.546,48.461,522.167,0.461,180.1,73.815,3.369,1.061,3.585,0.991,4f852384312688952d63e105275c85472664b4f6ffe75771441f1d96c73a7319,1
TR-2026-0099,2026-01-02T08:30:00,14.385,46.443,497.038,0.573,203.95,88.956,10.921,1.297,5.695,1.415,22f76566973f598d249839ef549d0791d14828b86f4186290643fcb210b7428d,1
TR-2026-0100,2026-01-02T08:45:00,13.559,36.221,544.525,0.314,175.465,95.429,10.521,1.395,3.592,0.797,34072a7a721bdf42b3007c3443975f451c77937376c64c2fbcb667a483f6ba81,1
TR-2026-0101,2026-01-02T09:00:00,12.306,45.632,559.679,0.414,189.224,77.091,9.351,0.801,2.875,1.117,94d3f4df0091f1427dcb336e53860c40c83131f9e169a4214e65589af9c0f144,1
TR-2026-0102,2026-01-02T09:15:00,11.19,59.171,516.554,0.426,159.831,77.846,48.308,6.123,18.186,1.142,f3d5a9de0d47b715e4755cbed3ad43868463f1a71a8025bc76c8736582ccc321,-1
TR-2026-0103,2026-01-02T09:30:00,12.011,58.75,438.814,0.25,178.482,85.116,10.07,0.989,3.424,1.557,80f7728bd0b576f538d3912cd08a590ad751f56cf60b0eb9f0853ecbbd009d32,1
TR-2026-0104,2026-01-02T09:45:00,12.552,52.701,529.543,0.394,193.374,85.885,8.004,1.389,0.324,0.704,cfd2b86eb44c78db2b262fb44e012de23cd4ced09f439a2f5d60a5e4d9ae278e,1
TR-2026-0105,2026-01-02T10:00:00,10.91,42.963,467.244,0.351,174.67,104.659,13.405,0.635,3.455,0.798,3fad998e41ac4650a950e51256a5344c7c6fbd97dbec4024ead5a14ff58fc5b0,1
TR-2026-0106,2026-01-02T10:15:00,11.649,37.017,517.03,0.29,175.856,86.189,9.099,0.967,2.019,1.499,a869cb2fd04fd9a2dd36aae4f1ddd0650d4313747f897b5c88598ba02bf3326c,1
TR-2026-0107,2026-01-02T10:30:00,13.899,44.915,471.826,0.418,189.384,89.904,7.577,1.413,5.511,1.11,ab45976a9ef680681a2a7493a780225e6280c52c5a225eeff5d371399abff17d,1
TR-2026-0108,2026-01-02T10:45:00,17.801,60.684,477.02,0.357,202.819,76.534,4.032,0.606,4.63,1.164,3347d4409934b3c2a2549d360f8ae806742a130aee0481244e120e0c3fef4fd2,1
TR-2026-0109,2026-01-02T11:00:00,9.977,39.301,489.217,0.678,188.57,92.094,6.533,0.726,2.93,0.272,67429951773ee738933a3ac767857ae2af20c4125e3e7d2794cc34aac562e5fd,1
TR-2026-0110,2026-01-02T11:15:00,6.568,27.002,478.162,0.582,184.467,95.325,9.233,1.113,2.649,1.383,b2c902e6410697e94121d6dd6e603ce91500d8e00a4e326148ccef0e7e0c9e4b,1
TR-2026-0111,2026-01-02T11:30:00,10.27,49.476,539.817,0.395,171.527,75.527,8.26,0.931,2.811,1.209,37b31aaf26a048aa6f338b0a81c37344013937d4091175d1e9f2155aee7fba57,1
TR-2026-0112,2026-01-02T11:45:00,13.855,57.415,564.694,0.35,205.203,80.752,11.135,0.827,3.382,0.567,ce851f2ad458b343725067c0da1d616bf2fe0b1683ec3bc848a21e32523db60a,1
TR-2026-0113,2026-01-02T12:00:00,7.322,52.738,573.088,0.37,188.624,79.197,6.115,1.11,3.942,1.809,c03cb5bdbc2fa16dc9a7b7ed3c2c1f4e276c82fe506f2ac74647967eb85b1e50,1
TR-2026-0114,2026-01-02T12:15:00,14.998,45.779,547.852,0.405,184.405,84.076,5.492,1.065,4.975,1.408,895a26ae431fdad0e98496de92540130ddd69e94e1ef21ca269be8acfdf2d07b,1
TR-2026-0115,2026-01-02T12:30:00,16.348,42.0,533.057,0.388,185.28,80.202,12.86,0.945,3.673,1.618,4a4d95a483e47997067015689706afdafeb9b7431d196d54815c55994a99c524,1
TR-2026-0116,2026-01-02T12:45:00,5.958,51.367,522.116,0.475,169.083,84.814,14.011,1.13,4.255,1.046,1fa54294b8614256231d6e64d09d10fd8ba154dc5cf352eb925e01502a17405b,1
TR-2026-0117,2026-01-02T13:00:00,5.612,47.061,549.592,0.292,177.063,75.74,5.104,0.821,0.873,1.415,cf9e391cff22062fb006d82a7d9200a2417a2837c0e332b6d2e56ed01d8e11f1,1
TR-2026-0118,2026-01-02T13:15:00,11.247,25.154,485.125,0.573,151.664,82.22,4.46,1.122,2.987,1.341,5beafa9b41842eea8b576b4d1527e82a80b06c622c4d0ba8a39848a64e769bbd,1
TR-2026-0119,2026-01-02T13:30:00,17.509,43.376,533.162,0.301,199.285,78.916,6.318,0.791,1.656,1.28,9ab5eef8c3b2084af674fba0991f5f3d9e8212d63368d5d055245662f04a5fb4,1
TR-2026-0120,2026-01-02T13:45:00,12.879,32.289,515.667,0.524,162.464,76.402,10.63,0.908,4.618,1.851,ce47010d5f52314580e7ddb87c633691c2718ac38ec9676ba6544e286d66d9c2,1
TR-2026-0121,2026-01-02T14:00:00,13.974,66.686,512.517,0.37,190.134,88.512,6.42,0.387,7.465,1.314,321391f293389252db5e21b5287e546fb21335dced4173a016e296b69f08028b,1
TR-2026-0122,2026-01-02T14:15:00,14.748,44.127,511.149,0.506,169.497,87.821,13.739,0.986,3.436,1.023,bb95e740f1a529ace7636faad112a3c053f802c127aa1a981458af54ca763c55,1
TR-2026-0123,2026-01-02T14:30:00,11.238,41.978,552.071,0.277,195.344,81.963,9.131,0.349,5.993,1.636,8aeee092a83ec7ae3ecc30e4e757842411bc53da833decd51d0bfc71aca32d36,1
TR-2026-0124,2026-01-02T14:45:00,7.456,51.633,534.17,0.289,184.708,87.916,9.668,0.871,4.437,1.716,c81119b696b988307da3ff5783025518bf0ae9d866a58c56da93ace306662ba7,1
TR-2026-0125,2026-01-02T15:00:00,3.399,42.46,514.237,0.275,186.13,94.99,4.74,0.935,2.626,0.965,11afa45d3b1b61691b64e2406c3912e97273fd3ff705a66b0e72d599a3f52fc4,1
TR-2026-0126,2026-01-02T15:15:00,10.372,48.698,454.507,0.636,192.232,83.54,9.727,0.236,5.774,1.087,1e934c96ba9477715c809c244cba7bdb2b312388e9926d3262f3b89d5ddd7e27,1
TR-2026-0127,2026-01-02T15:30:00,10.525,40.355,544.313,0.476,192.821,84.93,9.54,0.632,7.345,0.651,f28a9c855701c4ec7f39b3a2237f87e3199af34c962c78beaa793d1ec6b867f8,1
TR-2026-0128,2026-01-02T15:45:00,16.104,38.183,598.025,0.55,196.654,85.224,7.348,0.716,4.586,1.69,09c10b60745640884ed079f9c477156750afd587cb840c92180a7b1090262c6f,1
TR-2026-0129,2026-01-02T16:00:00,9.266,51.595,552.24,0.515,193.946,82.833,5.213,0.453,1.547,1.283,b203e38c91192067d948bd2ee86fcc94398188c83266c416fcf3c92960ee5aed,1
